iter	Passed	Remaining
398	366237	184495
399	367152	183576
400	368036	182641
401	368905	181699
402	369853	180796
403	370814	179900
404	371819	179024
405	372744	178109
406	373692	177205
407	374669	176314
408	375595	175400
409	376537	174492
410	377411	173554
411	378352	172646
412	379347	171762
413	380283	170851
414	381202	169933
415	382103	169007
416	383038	168095
417	383978	167186
418	384879	166260
419	385802	165344
420	386689	164412
421	387581	163482
422	388464	162549
423	389365	161623
424	390337	160727
425	391237	159801
426	392152	158881
427	393041	157951
428	393921	157017
429	394806	156086
430	395730	155170
431	396664	154258
432	397572	153336
433	398446	152401
434	399342	151474
435	400235	150547
436	401131	149621
437	402025	148694
438	402853	147743
439	403745	146816
440	404645	145892
441	405530	144963
442	406444	144044
443	407312	143109
444	408199	142181
445	409106	141261
446	410011	140339
447	410879	139405
448	411771	138479
449	412655	137551
450	413555	136629
451	414434	135699
452	415357	134784
453	416227	133852
454	417113	132926
455	418009	132003
456	418912	131081
457	419812	130160
458	420956	129313
459	421925	128412
460	422884	127507
461	423865	126609
462	424833	125706
463	425735	124784
464	426613	123855
465	427516	122934
466	428441	122018
467	429340	121096
468	430284	120186
469	431262	119285
470	432214	118377
471	433126	117458
472	434043	116540
473	435086	115656
474	436088	114760
475	437098	113865
476	438016	112947
477	438952	112033
478	439889	111120
479	440889	110222
480	441850	109314
481	442789	108400
482	443704	107481
483	444625	106563
484	445565	105649
485	446497	104734
486	447437	103820
487	448385	102908
488	449382	102007
489	450295	101086
490	451210	100166
491	452129	99248
492	453049	98329
493	453996	97416
494	454961	96506
495	455868	95585
496	456813	94671
497	457837	93773
498	458734	92850
499	459692	91938
500	460634	91023
501	461520	90097
502	462431	89176
503	463320	88251
504	464247	87333
505	465171	86415
506	466107	85499
507	467096	84592
508	467989	83668
509	468894	82746
510	469858	81834
511	470747	80909
512	471629	79983
513	472497	79055
514	473454	78142
515	474379	77224
516	475249	76297
517	476169	75378
518	477086	74458
519	478047	73545
520	478948	72623
521	479821	71697
522	480981	70813
523	481920	69896
524	482825	68975
525	483717	68051
526	484712	67142
527	485633	66222
528	486563	65304
529	487473	64383
530	488392	63463
531	489305	62542
532	490234	61624
533	491184	60708
534	492147	59793
535	493117	58879
536	494068	57963
537	495008	57045
538	495962	56129
539	496873	55208
540	497806	54289
541	498766	53373
542	499719	52456
543	500641	51536
544	501584	50618
545	502558	49703
546	503510	48786
547	504411	47863
548	505346	46944
549	506274	46024
550	507210	45105
551	508195	44190
552	509160	43274
553	510174	42361
554	511104	41440
555	512032	40520
556	512953	39599
557	513950	38684
558	515054	37776
559	516063	36861
560	516995	35940
561	517878	35016
562	518766	34093
563	519681	33171
564	520591	32249
565	521510	31327
566	522424	30405
567	523370	29485
568	524311	28565
569	525204	27642
570	526126	26720
571	527045	25799
572	527970	24878
573	528891	23956
574	529844	23036
575	530754	22114
576	531708	21194
577	532635	20273
578	533561	19351
579	534458	18429
580	535374	17507
581	536295	16586
582	537243	15665
583	538158	14744
584	539081	13822
585	540001	12901
586	541132	11984
587	542059	11062
588	542967	10140
589	543877	9218
590	544767	8295
591	545684	7374
592	546582	6452
593	547559	5530
594	548439	4608
595	549334	3686
596	550304	2765
597	551373	1844
598	552303	922
599	553223	0
